;Bubble Sort;Insertion Sort;Merge Sort;Quick Sort
100el;3029μs;394μs;436μs;221μs
200el;7289μs;1117μs;886μs;328μs
300el;8391μs;3238μs;488μs;324μs
400el;9271μs;4403μs;653μs;385μs
500el;4121μs;3996μs;574μs;443μs
600el;18694μs;3541μs;706μs;618μs
700el;7528μs;1579μs;895μs;864μs
800el;13967μs;1978μs;934μs;844μs
900el;14383μs;1927μs;972μs;961μs
1000el;13083μs;2309μs;1143μs;1097μs
1100el;25242μs;3151μs;1429μs;4225μs
1200el;25199μs;3927μs;814μs;1549μs
1300el;25731μs;4114μs;649μs;502μs
1400el;16776μs;2607μs;405μs;336μs
1500el;23766μs;5068μs;730μs;672μs
1600el;32191μs;6640μs;1186μs;821μs
1700el;40925μs;6867μs;1097μs;800μs
1800el;47234μs;5114μs;791μs;681μs
1900el;48815μs;5097μs;789μs;943μs
2000el;57685μs;8535μs;855μs;686μs
2100el;53082μs;6054μs;782μs;647μs
2200el;54693μs;7647μs;644μs;496μs
2300el;61821μs;8695μs;1101μs;925μs
2400el;64496μs;8060μs;836μs;979μs
2500el;107187μs;15691μs;2478μs;985μs
2600el;132414μs;16808μs;1285μs;1056μs
2700el;87793μs;15922μs;1199μs;1188μs
2800el;85339μs;13091μs;1461μs;1199μs
2900el;103879μs;13030μs;973μs;710μs
3000el;78396μs;15396μs;869μs;789μs
3100el;101656μs;16425μs;934μs;805μs
3200el;113968μs;16271μs;1570μs;812μs
3300el;89363μs;14554μs;972μs;786μs
3400el;90907μs;14670μs;1049μs;848μs
3500el;96121μs;15377μs;1119μs;940μs
3600el;105776μs;16286μs;1058μs;960μs
3700el;109556μs;17171μs;1157μs;962μs
3800el;118315μs;18233μs;1206μs;988μs
3900el;121907μs;19400μs;1174μs;1067μs
4000el;131103μs;20547μs;1171μs;1032μs
4100el;120480μs;21989μs;1219μs;1047μs
4200el;143276μs;22544μs;1308μs;1194μs
4300el;143363μs;23602μs;1298μs;1100μs
4400el;163261μs;24676μs;1343μs;1170μs
4500el;194457μs;25836μs;1344μs;1160μs
4600el;191847μs;29082μs;1384μs;1322μs
4700el;165557μs;28383μs;1438μs;1235μs
4800el;313487μs;59680μs;1510μs;1341μs
4900el;205412μs;31218μs;2284μs;1356μs
5000el;205189μs;32345μs;1542μs;1393μs
5100el;206719μs;33184μs;1626μs;1395μs
5200el;212059μs;35716μs;1719μs;2022μs
5300el;217370μs;40014μs;1668μs;1641μs
5400el;224869μs;36878μs;1787μs;1413μs
5500el;234897μs;38873μs;1746μs;1667μs
5600el;254936μs;40294μs;1827μs;1612μs
5700el;260468μs;41314μs;1806μs;1662μs
5800el;277761μs;43552μs;1846μs;1621μs
5900el;334944μs;62634μs;3791μs;2941μs
6000el;271558μs;45946μs;1900μs;1663μs
6100el;291492μs;48344μs;2194μs;1792μs
6200el;322883μs;49005μs;1975μs;1988μs
6300el;303356μs;49970μs;2181μs;1864μs
6400el;325334μs;53433μs;2057μs;1913μs
6500el;326959μs;54291μs;2066μs;1939μs
6600el;354764μs;55208μs;2131μs;1871μs
6700el;345279μs;56795μs;2174μs;2100μs
6800el;434558μs;58448μs;2186μs;1958μs
6900el;367557μs;65946μs;2214μs;2136μs
7000el;405377μs;63006μs;2262μs;2037μs
7100el;405917μs;64269μs;2270μs;2051μs
7200el;408589μs;65594μs;2311μs;2156μs
7300el;407903μs;67481μs;2395μs;2150μs
7400el;435966μs;117347μs;2819μs;3150μs
7500el;454336μs;73125μs;2474μs;2335μs
7600el;478379μs;73356μs;2429μs;2268μs
7700el;498541μs;75919μs;2588μs;3803μs
7800el;467069μs;76862μs;2515μs;2437μs
7900el;485766μs;79120μs;2668μs;2571μs
8000el;564301μs;80926μs;2630μs;2506μs
8100el;522085μs;83682μs;2666μs;2631μs
8200el;552921μs;88207μs;2677μs;2427μs
8300el;540399μs;105958μs;3037μs;2813μs
8400el;569287μs;89404μs;2783μs;2700μs
8500el;643123μs;92738μs;2844μs;2634μs
8600el;588091μs;95935μs;3772μs;2785μs
8700el;585459μs;95811μs;2950μs;2929μs
8800el;639040μs;98930μs;3028μs;3203μs
8900el;629644μs;128417μs;3881μs;4267μs
9000el;664694μs;106223μs;2951μs;2926μs
9100el;644892μs;104153μs;3048μs;2862μs
9200el;700918μs;106762μs;3088μs;3074μs
9300el;717623μs;137914μs;4183μs;4145μs
9400el;759676μs;117298μs;3114μs;3197μs
9500el;750042μs;123388μs;3154μs;3026μs
9600el;728395μs;119494μs;3273μs;3153μs
9700el;793202μs;122267μs;3293μs;3176μs
9800el;773069μs;123099μs;3231μs;3233μs
9900el;814313μs;124986μs;3422μs;3443μs
10000el;791590μs;128362μs;3360μs;3387μs
