;Bubble Sort;Insertion Sort
100el;3029μs;394μs
200el;7289μs;1117μs
300el;8391μs;3238μs
400el;9271μs;4403μs
500el;4121μs;3996μs
600el;18694μs;3541μs
700el;7528μs;1579μs
800el;13967μs;1978μs
900el;14383μs;1927μs
1000el;13083μs;2309μs
1100el;25242μs;3151μs
1200el;25199μs;3927μs
1300el;25731μs;4114μs
1400el;16776μs;2607μs
1500el;23766μs;5068μs
1600el;32191μs;6640μs
1700el;40925μs;6867μs
1800el;47234μs;5114μs
1900el;48815μs;5097μs
2000el;57685μs;8535μs
2100el;53082μs;6054μs
2200el;54693μs;7647μs
2300el;61821μs;8695μs
2400el;64496μs;8060μs
2500el;107187μs;15691μs
2600el;132414μs;16808μs
2700el;87793μs;15922μs
2800el;85339μs;13091μs
2900el;103879μs;13030μs
3000el;78396μs;15396μs
3100el;101656μs;16425μs
3200el;113968μs;16271μs
3300el;89363μs;14554μs
3400el;90907μs;14670μs
3500el;96121μs;15377μs
3600el;105776μs;16286μs
3700el;109556μs;17171μs
3800el;118315μs;18233μs
3900el;121907μs;19400μs
4000el;131103μs;20547μs
4100el;120480μs;21989μs
4200el;143276μs;22544μs
4300el;143363μs;23602μs
4400el;163261μs;24676μs
4500el;194457μs;25836μs
4600el;191847μs;29082μs
4700el;165557μs;28383μs
4800el;313487μs;59680μs
4900el;205412μs;31218μs
5000el;205189μs;32345μs
5100el;206719μs;33184μs
5200el;212059μs;35716μs
5300el;217370μs;40014μs
5400el;224869μs;36878μs
5500el;234897μs;38873μs
5600el;254936μs;40294μs
5700el;260468μs;41314μs
5800el;277761μs;43552μs
5900el;334944μs;62634μs
6000el;271558μs;45946μs
6100el;291492μs;48344μs
6200el;322883μs;49005μs
6300el;303356μs;49970μs
6400el;325334μs;53433μs
6500el;326959μs;54291μs
6600el;354764μs;55208μs
6700el;345279μs;56795μs
6800el;434558μs;58448μs
6900el;367557μs;65946μs
7000el;405377μs;63006μs
7100el;405917μs;64269μs
7200el;408589μs;65594μs
7300el;407903μs;67481μs
7400el;435966μs;117347μs
7500el;454336μs;73125μs
7600el;478379μs;73356μs
7700el;498541μs;75919μs
7800el;467069μs;76862μs
7900el;485766μs;79120μs
8000el;564301μs;80926μs
8100el;522085μs;83682μs
8200el;552921μs;88207μs
8300el;540399μs;105958μs
8400el;569287μs;89404μs
8500el;643123μs;92738μs
8600el;588091μs;95935μs
8700el;585459μs;95811μs
8800el;639040μs;98930μs
8900el;629644μs;128417μs
9000el;664694μs;106223μs
9100el;644892μs;104153μs
9200el;700918μs;106762μs
9300el;717623μs;137914μs
9400el;759676μs;117298μs
9500el;750042μs;123388μs
9600el;728395μs;119494μs
9700el;793202μs;122267μs
9800el;773069μs;123099μs
9900el;814313μs;124986μs
10000el;791590μs;128362μs
