;Merge Sort;Quick Sort
100el;460μs;227μs
200el;920μs;286μs
300el;433μs;291μs
400el;461μs;472μs
500el;608μs;522μs
600el;805μs;606μs
700el;815μs;1247μs
800el;1209μs;1275μs
900el;1114μs;1136μs
1000el;1138μs;1257μs
1100el;1339μs;1835μs
1200el;740μs;848μs
1300el;582μs;591μs
1400el;490μs;530μs
1500el;709μs;597μs
1600el;686μs;831μs
1700el;993μs;819μs
1800el;1077μs;905μs
1900el;929μs;695μs
2000el;936μs;595μs
2100el;1341μs;1186μs
2200el;1186μs;972μs
2300el;1224μs;1009μs
2400el;1668μs;1130μs
2500el;843μs;610μs
2600el;1261μs;1078μs
2700el;1370μs;1212μs
2800el;2311μs;2354μs
2900el;1478μs;1114μs
3000el;1422μs;1123μs
3100el;1242μs;781μs
3200el;1100μs;1146μs
3300el;2230μs;1428μs
3400el;1656μs;1651μs
3500el;1511μs;944μs
3600el;1059μs;869μs
3700el;1122μs;952μs
3800el;1096μs;1063μs
3900el;1176μs;1012μs
4000el;1167μs;993μs
4100el;1209μs;1108μs
4200el;1293μs;1077μs
4300el;1328μs;1233μs
4400el;1376μs;1251μs
4500el;1355μs;1129μs
4600el;1383μs;1261μs
4700el;2790μs;2146μs
4800el;1490μs;1230μs
4900el;1471μs;1371μs
5000el;1545μs;1420μs
5100el;1586μs;1358μs
5200el;1611μs;1399μs
5300el;1768μs;1484μs
5400el;1859μs;1496μs
5500el;1713μs;1821μs
5600el;1802μs;1470μs
5700el;1845μs;1653μs
5800el;1905μs;1651μs
5900el;2942μs;1940μs
6000el;1935μs;1811μs
6100el;1924μs;1811μs
6200el;1999μs;2000μs
6300el;2017μs;2025μs
6400el;2073μs;1840μs
6500el;2083μs;1885μs
6600el;2131μs;1945μs
6700el;2136μs;3640μs
6800el;2185μs;2055μs
6900el;2191μs;2128μs
7000el;2237μs;2138μs
7100el;2396μs;2149μs
7200el;2423μs;2154μs
7300el;2492μs;2196μs
7400el;3070μs;2614μs
7500el;2442μs;2298μs
7600el;2428μs;2282μs
7700el;2502μs;2282μs
7800el;2512μs;2286μs
7900el;2628μs;2362μs
8000el;2738μs;2520μs
8100el;2626μs;2364μs
8200el;2640μs;2617μs
8300el;2688μs;2616μs
8400el;2872μs;2850μs
8500el;2771μs;2745μs
8600el;2939μs;2883μs
8700el;2851μs;2813μs
8800el;3021μs;3211μs
8900el;3959μs;3233μs
9000el;2977μs;3013μs
9100el;4801μs;3426μs
9200el;3019μs;2926μs
9300el;4246μs;3471μs
9400el;3166μs;3228μs
9500el;3153μs;3288μs
9600el;3176μs;3283μs
9700el;3258μs;3299μs
9800el;3287μs;3326μs
9900el;3388μs;5177μs
10000el;3423μs;3389μs
