;Quick Sort
500lines;578.4μs
1000lines;716.8μs
1500lines;1146.1μs
2000lines;6000.8μs
2500lines;2084.5μs
3000lines;4008.7μs
3500lines;1988.4μs
4000lines;1443.5μs
4500lines;1991.7μs
5000lines;2292.0μs
5500lines;2263.9μs
6000lines;2478.9μs
6500lines;2656.8μs
7000lines;2770.8μs
7500lines;3329.4μs
8000lines;3976.6μs
8500lines;4080.3μs
9000lines;4173.7μs
9500lines;3954.9μs
10000lines;4797.0μs
10500lines;5491.8μs
11000lines;6688.3μs
11500lines;7916.7μs
12000lines;5748.8μs
12500lines;7764.9μs
13000lines;8476.4μs
13500lines;7536.8μs
14000lines;6037.4μs
14500lines;7211.5μs
15000lines;7271.3μs
15500lines;7333.8μs
16000lines;8134.0μs
16500lines;11763.4μs
17000lines;11813.3μs
17500lines;9487.2μs
18000lines;8186.4μs
18500lines;12973.9μs
19000lines;15348.4μs
19500lines;10563.2μs
20000lines;8726.8μs
